gameId,actionNumber,clock,period,teamId,teamTricode,personId,playerName,playerNameI,xLegacy,yLegacy,shotDistance,shotResult,isFieldGoal,scoreHome,scoreAway,pointsTotal,location,description,actionType,subType,videoAvailable,shotValue,actionId
0051900111,233,PT07M15.00S,2,1610612763,MEM,1629001,Melton,D. Melton,0,0,0,,0,0,0,0,v,Melton S.FOUL (P1.T1) (J.Capers),Foul,Shooting,1,0,174
0051900111,235,PT07M15.00S,2,1610612757,POR,2546,Anthony,C. Anthony,0,0,0,,0,40,42,82,h,Anthony Free Throw 1 of 2 (7 PTS),Free Throw,Free Throw 1 of 2,1,0,175
0051900111,236,PT07M15.00S,2,0,,1610612757,,,0,0,0,,0,0,0,0,h,TRAIL BLAZERS Violation: Delay of game Violation,Violation,Delay Of Game,0,0,176
0051900111,237,PT07M15.00S,2,1610612757,POR,2546,Anthony,C. Anthony,0,0,0,,0,41,42,83,h,Anthony Free Throw 2 of 2 (8 PTS),Free Throw,Free Throw 2 of 2,1,0,177
0051900111,241,PT06M58.00S,2,1610612763,MEM,202685,Valančiūnas,J. Valančiūnas,0,0,0,,0,0,0,0,v,Valanciunas Lost Ball Turnover (P1.T5),Turnover,Lost Ball,1,0,178
0051900111,241,PT06M58.00S,2,1610612757,POR,203468,McCollum,C. McCollum,0,0,0,,0,0,0,0,h,McCollum STEAL (1 STL),,,1,0,179
0051900111,243,PT06M50.00S,2,1610612757,POR,2546,Anthony,C. Anthony,-223,16,0,Missed,1,0,0,0,h,MISS Anthony  3PT Jump Shot,Missed Shot,Jump Shot,1,3,180
0051900111,244,PT06M48.00S,2,1610612757,POR,203994,Nurkić,J. Nurkić,0,0,0,,0,0,0,0,h,Nurkic REBOUND (Off:2 Def:8),Rebound,Unknown,1,0,181
0051900111,245,PT06M42.00S,2,1610612757,POR,203994,Nurkić,J. Nurkić,24,16,3,Made,1,43,42,85,h,Nurkic 3' Turnaround Bank Hook Shot (6 PTS),Made Shot,Turnaround Bank Hook Shot,1,2,182
0051900111,246,PT06M27.00S,2,1610612763,MEM,1628415,Brooks,D. Brooks,-16,44,5,Missed,1,0,0,0,v,MISS Brooks 5' Layup,Missed Shot,Layup Shot,1,2,183
0051900111,247,PT06M25.00S,2,1610612757,POR,203994,Nurkić,J. Nurkić,0,0,0,,0,0,0,0,h,Nurkic REBOUND (Off:2 Def:9),Rebound,Unknown,1,0,184
0051900111,248,PT06M18.00S,2,1610612757,POR,2546,Anthony,C. Anthony,8,15,2,Made,1,45,42,87,h,Anthony 2' Driving Floating Bank Jump Shot (10 PTS),Made Shot,Driving Floating Bank Jump Shot,1,2,185
