season,phase,game_id,home_team,road_team,stat,delta_home,delta_road,abs_sum,max_abs_side,classification,tov_max_t_home,tov_max_t_road,blk_sum_player_home,blk_sum_player_road
2008-09,regular,0020800118,CHI,DAL,pf,0,-2,2,2,unclassified,,,,
2008-09,regular,0020800512,DAL,LAC,pf,-2,0,2,2,unclassified,,,,
2008-09,regular,0020800677,POR,CHA,pf,-2,0,2,2,unclassified,,,,
2001-02,regular,0020101169,ATL,ORL,reb,0,-2,2,2,unclassified,,,,
2015-16,regular,0021500470,HOU,ATL,pf,0,-2,2,2,unclassified,,,,
2015-16,regular,0021501072,LAC,POR,pf,0,-2,2,2,unclassified,,,,
2010-11,regular,0021000489,MIL,DAL,pf,-2,0,2,2,unclassified,,,,
2013-14,regular,0021301141,GSW,SAC,ftm,1,1,2,1,ft_source_gap_small,,,,
2025-26,regular,0022500029,WAS,CLE,plus_minus,-1,1,2,1,ft_linked_score_gap,,,,
2011-12,playoffs,0041100167,LAL,DEN,ftm,0,1,1,1,ft_source_gap_small,,,,
2014-15,playoffs,0041400235,HOU,LAC,ftm,1,0,1,1,ft_source_gap_small,,,,
2012-13,playoffs,0041200215,NYK,IND,ftm,0,1,1,1,ft_source_gap_small,,,,
2015-16,playoffs,0041500311,GSW,OKC,ftm,0,1,1,1,ft_source_gap_small,,,,
2000-01,regular,0020000170,IND,TOR,fta,0,1,1,1,unclassified,,,,
2016-17,regular,0021600026,PHI,ATL,ftm,0,1,1,1,ft_source_gap_small,,,,
2016-17,regular,0021600158,PHI,WAS,ftm,0,1,1,1,ft_source_gap_small,,,,
2016-17,regular,0021600344,LAL,PHX,ftm,0,1,1,1,ft_source_gap_small,,,,
2016-17,regular,0021600478,ATL,NYK,ftm,0,1,1,1,ft_source_gap_small,,,,
2016-17,regular,0021600487,MEM,OKC,ftm,0,1,1,1,ft_source_gap_small,,,,
2016-17,regular,0021600528,LAL,MEM,ftm,1,0,1,1,ft_source_gap_small,,,,
2016-17,regular,0021600770,IND,OKC,ftm,0,1,1,1,ft_source_gap_small,,,,
2016-17,regular,0021601215,LAL,NOP,ftm,1,0,1,1,ft_source_gap_small,,,,
2005-06,regular,0020500121,IND,CHA,ftm,1,0,1,1,ft_source_gap_small,,,,
2005-06,regular,0020500121,IND,CHA,fta,1,0,1,1,ft_source_gap_small,,,,
2002-03,regular,0020200286,DEN,IND,ftm,0,1,1,1,ft_source_gap_small,,,,
2011-12,regular,0021100089,MIN,MEM,ftm,1,0,1,1,ft_source_gap_small,,,,
2011-12,regular,0021100211,SAC,IND,ftm,0,1,1,1,ft_source_gap_small,,,,
2011-12,regular,0021100495,MIN,UTA,ftm,0,1,1,1,ft_source_gap_small,,,,
2011-12,regular,0021100558,MIL,PHI,ftm,1,0,1,1,ft_source_gap_small,,,,
2011-12,regular,0021100601,PHX,MEM,ftm,1,0,1,1,ft_source_gap_small,,,,
2011-12,regular,0021100660,DEN,BOS,ftm,1,0,1,1,ft_source_gap_small,,,,
2011-12,regular,0021100664,MEM,WAS,ftm,0,1,1,1,ft_source_gap_small,,,,
2011-12,regular,0021100772,DET,CHA,ftm,0,1,1,1,ft_source_gap_small,,,,
2011-12,regular,0021100772,DET,CHA,fta,0,1,1,1,ft_source_gap_small,,,,
2011-12,regular,0021100891,MIL,IND,ftm,1,0,1,1,ft_source_gap_small,,,,
2011-12,regular,0021100911,LAC,OKC,ftm,1,0,1,1,ft_source_gap_small,,,,
2011-12,regular,0021100959,LAC,NOH,ftm,0,1,1,1,ft_source_gap_small,,,,
2011-12,regular,0021100987,MIN,DEN,ftm,0,1,1,1,ft_source_gap_small,,,,
2009-10,regular,0020900007,TOR,CLE,ftm,0,1,1,1,ft_source_gap_small,,,,
2009-10,regular,0020900179,DAL,SAC,ftm,1,0,1,1,ft_source_gap_small,,,,
2009-10,regular,0020900216,SAS,GSW,ftm,-1,0,1,1,ft_source_gap_small,,,,
2009-10,regular,0020900305,NOH,SAC,ftm,0,1,1,1,ft_source_gap_small,,,,
2009-10,regular,0020900386,PHI,LAC,ftm,0,1,1,1,ft_source_gap_small,,,,
2009-10,regular,0020900451,GSW,BOS,ftm,0,1,1,1,ft_source_gap_small,,,,
2009-10,regular,0020900701,HOU,PHX,ftm,1,0,1,1,ft_source_gap_small,,,,
2009-10,regular,0020900887,CLE,NYK,ftm,1,0,1,1,ft_source_gap_small,,,,
2009-10,regular,0020901163,MIN,GSW,ftm,1,0,1,1,ft_source_gap_small,,,,
2003-04,regular,0020300778,NOH,WAS,fgm,0,1,1,1,unclassified,,,,
2003-04,regular,0020300778,NOH,WAS,fg3m,0,1,1,1,unclassified,,,,
2003-04,regular,0020301045,CHI,MIL,ftm,1,0,1,1,ft_source_gap_small,,,,
2003-04,regular,0020301073,DAL,CLE,ftm,0,1,1,1,ft_source_gap_small,,,,
