Season,Team,Games,Net_Rating,EFG,BH,OREB,FT_Rate,Opp_EFG,Opp_BH,Opp_OREB,Opp_FT_Rate
2021-22,ORL,82,-8.080531,0.503046,0.869892,0.197158,0.177097,0.533333,0.882671,0.225286,0.198097
2021-22,PHI,94,2.518125,0.53765,0.880136,0.198318,0.237321,0.523207,0.880132,0.230181,0.195931
2021-22,PHX,95,6.407826,0.551348,0.882747,0.222188,0.181539,0.515002,0.871027,0.232834,0.203226
2021-22,POR,82,-9.100557,0.51639,0.869615,0.227123,0.190755,0.560227,0.873641,0.230426,0.223967
2021-22,SAC,82,-5.331815,0.525913,0.87434,0.210691,0.205314,0.55255,0.880494,0.237897,0.177626
2021-22,SAS,83,0.079185,0.527426,0.889629,0.234448,0.168191,0.534031,0.879308,0.246967,0.177658
2021-22,TOR,88,1.316163,0.51069,0.891193,0.277871,0.179976,0.538932,0.856336,0.241716,0.207066
2021-22,UTA,88,5.28824,0.552234,0.874681,0.249516,0.213313,0.523609,0.892282,0.210737,0.168771
2021-22,WAS,82,-3.493243,0.533255,0.879111,0.2074,0.198652,0.530447,0.892943,0.228647,0.205529
2022-23,ATL,89,-0.156989,0.542097,0.887985,0.250266,0.198191,0.555808,0.877498,0.233182,0.203969
2022-23,BKN,86,1.560615,0.561739,0.873717,0.190377,0.206675,0.530293,0.878287,0.262593,0.211356
2022-23,BOS,102,6.710791,0.565435,0.881024,0.220558,0.198306,0.528485,0.887094,0.214667,0.183397
2022-23,CHA,82,-5.945566,0.51784,0.875988,0.23489,0.196007,0.545887,0.875521,0.243619,0.213748
2022-23,CHI,84,2.233869,0.550733,0.878402,0.197936,0.203019,0.543884,0.865364,0.220461,0.199722
2022-23,CLE,87,5.488349,0.555408,0.87501,0.23394,0.205447,0.533396,0.856441,0.241163,0.212832
2022-23,DAL,82,0.334841,0.566814,0.88639,0.180068,0.228706,0.551111,0.880281,0.240784,0.22916
2022-23,DEN,102,4.324605,0.57073,0.873594,0.244828,0.198274,0.538965,0.882205,0.226298,0.203215
2022-23,DET,82,-8.241019,0.520522,0.866961,0.246381,0.228838,0.558503,0.880553,0.258608,0.233387
2022-23,GSW,95,1.715918,0.566025,0.860714,0.245094,0.177273,0.537977,0.878744,0.240516,0.218123
2022-23,HOU,82,-9.295207,0.51616,0.860316,0.300647,0.217666,0.565905,0.882422,0.239886,0.219689
2022-23,IND,82,-4.424698,0.545876,0.870166,0.231136,0.211397,0.556093,0.870113,0.274754,0.23226
2022-23,LAC,87,-0.14117,0.5522,0.871991,0.226962,0.220724,0.545043,0.8835,0.235249,0.201504
2022-23,LAL,99,0.795601,0.541028,0.879495,0.224224,0.234733,0.533623,0.889001,0.237342,0.170458
2022-23,MEM,88,3.176657,0.535486,0.883347,0.262126,0.189552,0.52736,0.86936,0.241395,0.207024
2022-23,MIA,107,-0.220863,0.530617,0.879639,0.222894,0.220251,0.555212,0.859863,0.228039,0.204102
2022-23,MIL,87,2.782403,0.556439,0.873219,0.246163,0.184996,0.52705,0.894699,0.216632,0.175944
2022-23,MIN,89,0.05183,0.559743,0.864218,0.211788,0.208156,0.540111,0.867653,0.252946,0.226451
2022-23,NOP,83,1.842727,0.54417,0.871055,0.245204,0.223055,0.543736,0.867287,0.225772,0.216376
2022-23,NYK,93,2.850441,0.536642,0.883036,0.282718,0.221843,0.533773,0.884538,0.224611,0.211366
2022-23,OKC,84,0.474169,0.53079,0.887829,0.245691,0.210854,0.548442,0.856254,0.269806,0.225223
2022-23,ORL,82,-2.458334,0.534249,0.865455,0.236417,0.230045,0.550698,0.869021,0.222703,0.213969
2022-23,PHI,93,4.29785,0.556871,0.875353,0.216994,0.247625,0.54226,0.87251,0.221492,0.214998
2022-23,PHX,93,1.582689,0.537945,0.881493,0.260416,0.196176,0.534557,0.873095,0.239492,0.237643
2022-23,POR,82,-4.036077,0.550488,0.86961,0.224822,0.232667,0.564028,0.878893,0.248395,0.218541
2022-23,SAC,89,2.311205,0.566541,0.880647,0.229521,0.225386,0.560962,0.875185,0.229241,0.20468
2022-23,SAS,82,-10.559458,0.527795,0.869276,0.255984,0.172425,0.579111,0.880045,0.244456,0.202177
2022-23,TOR,83,0.69238,0.518252,0.896557,0.277437,0.203994,0.565961,0.84772,0.229701,0.225654
2022-23,UTA,82,-1.212531,0.548738,0.867528,0.265936,0.211198,0.543051,0.890736,0.24271,0.208037
2022-23,WAS,82,-1.857017,0.55206,0.872416,0.223517,0.205434,0.542031,0.890194,0.237312,0.197358
2023-24,ATL,83,-2.162475,0.540578,0.883381,0.267671,0.202116,0.574024,0.876254,0.246633,0.19339
2023-24,BKN,82,-2.899395,0.531989,0.881699,0.249848,0.180031,0.545056,0.885498,0.237513,0.195526
2023-24,BOS,101,11.134711,0.57478,0.892126,0.245831,0.184115,0.525102,0.89135,0.228832,0.142792
2023-24,CHA,82,-10.697981,0.531008,0.873287,0.207787,0.168105,0.573874,0.876916,0.250995,0.190376
2023-24,CHI,84,-1.886045,0.535852,0.889882,0.246081,0.185514,0.556691,0.874061,0.235041,0.198494
2023-24,CLE,94,1.316194,0.551092,0.87682,0.224717,0.17885,0.534684,0.876731,0.234045,0.193841
2023-24,DAL,104,2.107478,0.558359,0.886944,0.228435,0.194361,0.541937,0.881348,0.243984,0.187262
2023-24,DEN,94,4.582271,0.55758,0.885536,0.251051,0.171893,0.528916,0.888038,0.237361,0.196523
2023-24,DET,82,-9.008144,0.526882,0.865451,0.237889,0.195682,0.558565,0.889427,0.226048,0.223092
2023-24,GSW,83,2.153955,0.557768,0.874984,0.271117,0.174571,0.539777,0.88584,0.239512,0.197477
2023-24,HOU,82,0.832366,0.529869,0.888531,0.249165,0.201063,0.533814,0.877936,0.240161,0.221906
2023-24,IND,100,2.453856,0.578064,0.887808,0.236946,0.17021,0.55439,0.881354,0.258888,0.227954
2023-24,LAC,88,2.611037,0.558808,0.879068,0.244147,0.213854,0.541184,0.883157,0.25263,0.188481
2023-24,LAL,89,0.410412,0.565058,0.876615,0.197513,0.216621,0.547761,0.884496,0.23693,0.155791
