Game_ID,Game_Date,Home_Team,Road_Team,Home_OFF_Rating,Home_EFG,Home_BH,Home_OREB,Home_FT_Rate,Road_OFF_Rating,Road_EFG,Road_BH,Road_OREB,Road_FT_Rate
0022000088,2021-01-03,MIN,DEN,113.541667,0.576471,0.867974,0.230769,0.129412,126.530612,0.592391,0.870957,0.325,0.163043
0022000090,2021-01-03,CHI,DAL,116.831683,0.535294,0.859895,0.268293,0.317647,105.882353,0.5,0.870556,0.229167,0.213483
0022000087,2021-01-03,MEM,LAL,97.916667,0.457895,0.883429,0.27451,0.073684,114.893617,0.52809,0.906855,0.25,0.157303
0022000092,2021-01-03,GSW,POR,126.851852,0.630682,0.872838,0.282051,0.295455,115.09434,0.489796,0.90363,0.222222,0.265306
0022000085,2021-01-03,DET,BOS,126.315789,0.569767,0.906542,0.216216,0.255814,128.421053,0.649425,0.837428,0.324324,0.103448
0022000093,2021-01-04,ORL,CLE,109.574468,0.517045,0.816946,0.409091,0.136364,88.297872,0.447059,0.849454,0.2,0.082353
0022000101,2021-01-04,GSW,SAC,124.545455,0.64433,0.903644,0.068182,0.123711,97.247706,0.433333,0.87721,0.196429,0.311111
0022000094,2021-01-04,PHI,CHA,114.563107,0.542105,0.913134,0.264151,0.157895,98.058252,0.494186,0.84913,0.163265,0.186047
0022000100,2021-01-04,NOP,IND,107.407407,0.480198,0.861068,0.301887,0.188119,109.259259,0.586022,0.875798,0.108696,0.096774
0022000099,2021-01-04,MIL,DET,121.359223,0.658824,0.82889,0.21875,0.152941,112.745098,0.52551,0.919843,0.125,0.122449
0022000098,2021-01-04,HOU,DAL,105.263158,0.461039,0.88554,0.145833,0.376623,118.947368,0.573171,0.834559,0.263158,0.231707
0022000097,2021-01-04,TOR,BOS,109.615385,0.472222,0.914325,0.153846,0.322222,120.0,0.577381,0.831876,0.292683,0.345238
0022000095,2021-01-04,ATL,NYK,109.090909,0.517241,0.881947,0.227273,0.206897,114.141414,0.547059,0.857143,0.268293,0.235294
0022000096,2021-01-04,MIA,OKC,116.831683,0.666667,0.847503,0.111111,0.123457,90.0,0.449367,0.83468,0.122449,0.240506
0022000103,2021-01-05,MEM,LAL,96.842105,0.471264,0.877034,0.104167,0.114943,96.907216,0.488506,0.843807,0.214286,0.103448
0022000106,2021-01-05,POR,CHI,108.0,0.515957,0.902205,0.196078,0.117021,109.90099,0.527473,0.868329,0.234043,0.164835
0022000102,2021-01-05,BKN,UTA,127.45098,0.634409,0.884996,0.2,0.129032,94.117647,0.447674,0.867116,0.173077,0.22093
0022000105,2021-01-05,LAC,SAS,115.306122,0.587209,0.875859,0.175,0.139535,118.367347,0.5625,0.901645,0.22449,0.083333
0022000104,2021-01-05,DEN,MIN,117.142857,0.56962,0.860627,0.238095,0.417722,109.433962,0.521978,0.880219,0.238095,0.230769
0022000117,2021-01-06,SAC,CHI,129.292929,0.593407,0.936294,0.266667,0.21978,124.0,0.602151,0.861592,0.27027,0.129032
0022000107,2021-01-06,IND,HOU,114.0,0.522472,0.877665,0.170732,0.235955,105.940594,0.530864,0.852453,0.138889,0.259259
0022000115,2021-01-06,PHX,TOR,126.804124,0.608434,0.886321,0.2,0.26506,118.556701,0.582278,0.885801,0.232558,0.291139
0022000112,2021-01-06,NYK,UTA,114.285714,0.563218,0.88003,0.255814,0.16092,103.092784,0.516484,0.86467,0.212766,0.065934
0022000109,2021-01-06,PHI,WAS,128.181818,0.728395,0.841438,0.037037,0.283951,123.636364,0.585106,0.893791,0.209302,0.276596
0022000114,2021-01-06,NOP,OKC,106.796117,0.516854,0.868559,0.209302,0.202247,107.76699,0.568966,0.870418,0.085106,0.137931
0022000113,2021-01-06,MIL,DET,126.213592,0.65,0.876369,0.219512,0.144444,111.650485,0.458763,0.924497,0.283019,0.268041
0022000111,2021-01-06,MIA,BOS,110.526316,0.512346,0.911278,0.139535,0.271605,113.829787,0.484848,0.937096,0.307692,0.111111
